position,special_char,upper_case,numeral,aggregate,length,significance,freq_score,proper_noun,noun,verb,named_entity,cue_phrases,centrality
0.67,0,0,1,0.21,0.021812081,501.36,12,0,7,5,3,0.01,0.015312317
0.67,0,0,0,0.32,0.043624161,572.85,26,0,11,9,1,0.02,0.012018328
0.67,0,1,2,0.28,0.043624161,592.07,26,0,18,6,2,0.02,0.014624083
0.67,0,0,2,0.22,0.020134228,635.77,11,0,9,3,2,0,0.015997371
0.67,0,1,0,0.24,0.013422819,364.56,8,1,5,1,0,0.01,0.01392956
0.66,0,0,4,0.34,0.035234899,678.59,19,0,15,2,4,0.01,0.010487009
0.66,0,2,1,0.29,0.030201342,717.58,17,0,10,6,2,0.02,0.013744576
0.66,0,0,1,0.29,0.015100671,642.99,9,0,7,2,1,0.01,0.014230807
0.66,1,0,3,0.28,0.033557047,633.42,20,0,15,3,4,0.02,0.015015972
0.66,2,0,5,0.17,0.041946309,412,20,1,14,5,7,0.01,0.012553309
0.66,0,0,0,0.27,0.020134228,224.04,9,0,6,2,0,0.01,0.015372355
0.65,0,0,0,0.15,0.015100671,392.84,8,0,4,3,1,0.01,0.013150082
0.65,0,2,0,0.2,0.013422819,743.76,7,0,8,2,0,0.01,0.015496703
0.65,0,1,1,0.25,0.020134228,739.22,11,0,7,5,2,0.01,0.015406638
0.65,0,1,0,0.21,0.011744966,1034.38,7,0,5,2,1,0,0.013855724
0.65,0,0,2,0.32,0.026845638,735.88,16,0,10,4,2,0.02,0.013277988
0.65,0,2,1,0.25,0.043624161,653.33,23,0,15,5,3,0,0.014595447
0.65,0,0,1,0.25,0.035234899,630.53,18,0,11,3,3,0,0.014934405
0.64,0,1,1,0.31,0.026845638,558.17,14,0,10,2,1,0.01,0.013194315
0.64,0,2,1,0.27,0.013422819,670.24,8,0,8,2,1,0,0.014312248
0.64,0,1,0,0.23,0.011744966,857.54,7,0,6,1,1,0,0.01474618
0.64,0,0,2,0.29,0.020134228,628.56,11,0,6,5,2,0.02,0.015055981
0.64,0,0,2,0.27,0.015100671,476.54,9,0,5,1,2,0,0.015573533
0.64,0,0,4,0.31,0.02852349,969.53,17,0,8,8,4,0.01,0.011707713
0.63,0,0,0,0.33,0.045302013,644.56,26,0,16,7,0,0.01,0.011810059
0.63,0,0,0,0.24,0.016778523,738.2,9,0,5,3,1,0.01,0.016342619
0.63,0,2,2,0.3,0.043624161,492.97,22,0,11,8,2,0,0.012816009
0.63,0,0,3,0.17,0.021812081,532.58,12,0,7,1,5,0,0.013208385
0.63,0,0,0,0.24,0.023489933,663.36,12,0,8,2,0,0,0.014977161
0.63,0,1,1,0.26,0.036912752,816.93,20,1,12,3,3,0.01,0.015083436
0.62,2,1,0,0.27,0.046979866,609.4,25,0,15,9,1,0.02,0.013044524
0.62,0,0,0,0.3,0.018456376,562.6,9,0,6,1,0,0.02,0.012964056
0.62,0,0,0,0.28,0.025167785,677.91,14,0,8,5,0,0.01,0.013688581
0.62,2,0,1,0.32,0.026845638,518.86,13,0,6,2,1,0.02,0.012903088
0.62,0,0,6,0.33,0.087248322,769.72,52,0,28,6,9,0.02,0.011161045
0.62,0,1,3,0.28,0.023489933,591.46,13,0,6,3,3,0.01,0.013576682
0.62,0,0,0,0.18,0.015100671,563.13,9,0,5,1,0,0.01,0.013431805
0.61,0,0,0,0.22,0.026845638,293.39,15,0,6,6,0,0.01,0.015160338
0.61,0,0,0,0.34,0.036912752,704.63,21,0,12,4,3,0.02,0.010917091
0.61,0,0,1,0.31,0.030201342,854.47,16,1,9,3,3,0.02,0.012815783
0.61,0,0,0,0.29,0.026845638,621.12,15,0,5,6,1,0.01,0.014961901
0.61,0,0,2,0.3,0.043624161,894.56,25,0,13,4,2,0.02,0.013537211
0.61,0,0,2,0.34,0.031879195,825.19,19,0,12,5,2,0.04,0.010914094
0.6,0,0,0,0.35,0.038590604,595.63,23,0,18,2,0,0.02,0.01081471
0.6,2,0,0,0.36,0.052013423,940.82,31,0,21,7,2,0.02,0.009219867
0.6,0,2,0,0.33,0.021812081,700.78,11,0,5,4,0,0.03,0.012271558
0.6,0,0,0,0.23,0.013422819,506.4,8,0,5,1,0,0.02,0.015258428
0.6,1,0,6,0.29,0.055369128,775.22,32,0,22,5,6,0.02,0.014868154
0.6,0,0,0,0.23,0.015100671,710.78,9,0,5,1,1,0,0.016650827
0.6,0,0,0,0.31,0.018456376,508.86,10,0,3,3,0,0.01,0.011764476
